Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
0.72,0.565,0.2,2.1055,1.0170000000000001,0.363,0.494,13.5
0.48,0.39,0.125,0.6905,0.21899999999999997,0.155,0.2,13.5
0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,9.5
0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,12.5
0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,11.5
0.435,0.325,0.115,0.3915,0.154,0.094,0.12,8.5
0.625,0.47,0.17,1.255,0.525,0.2415,0.405,11.5
0.625,0.515,0.16,1.264,0.5715,0.326,0.321,10.5
0.46,0.365,0.115,0.4485,0.165,0.083,0.17,15.5
0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,9.5
0.76,0.575,0.19,1.829,0.7035,0.386,0.56,15.5
0.69,0.53,0.21,1.5830000000000002,0.7355,0.405,0.3865,13.5
0.475,0.36,0.1,0.4285,0.1965,0.099,0.11199999999999999,8.5
0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,13.5
0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,14.5
0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,11.5
0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,14.5
0.6,0.485,0.165,1.1405,0.5870000000000001,0.2175,0.28800000000000003,10.5
0.58,0.46,0.18,1.145,0.48,0.27699999999999997,0.325,12.5
0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,11.5
0.64,0.49,0.14,1.194,0.4445,0.23800000000000002,0.375,16.5
0.635,0.51,0.155,1.156,0.428,0.289,0.315,19.5
0.585,0.51,0.16,1.218,0.639,0.24100000000000002,0.3,12.5
0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,16.5
0.645,0.505,0.165,1.307,0.4335,0.262,0.52,11.5
0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,12.5
0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,11.5
0.55,0.43,0.14,0.84,0.375,0.218,0.1945,9.5
0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,12.5
0.74,0.57,0.18,1.8725,0.9115,0.42700000000000005,0.446,11.5
0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,10.5
0.385,0.295,0.095,0.335,0.147,0.094,0.09,8.5
0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,13.5
0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,9.5
0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,14.5
0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,11.5
0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,9.5
0.38,0.285,0.1,0.2665,0.115,0.061,0.075,12.5
0.46,0.38,0.13,0.639,0.3,0.1525,0.16,12.5
0.58,0.46,0.135,0.9259999999999999,0.4025,0.20800000000000002,0.275,9.5
0.54,0.475,0.155,0.9279999999999999,0.39399999999999996,0.19399999999999998,0.26,12.5
0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,11.5
0.625,0.5,0.14,1.0959999999999999,0.5445,0.2165,0.295,11.5
0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,9.5
0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,12.5
0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,13.5
0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,11.5
0.625,0.47,0.175,1.179,0.605,0.258,0.271,10.5
0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,10.5
0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,10.5
0.645,0.51,0.19,1.3630000000000002,0.573,0.36200000000000004,0.36,11.5
0.65,0.52,0.195,1.6275,0.6890000000000001,0.3905,0.43200000000000005,12.5
0.47,0.355,0.14,0.433,0.1525,0.095,0.152,13.5
0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17,13.5
0.675,0.515,0.15,1.3119999999999998,0.556,0.2845,0.4115,12.5
0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,9.5
0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,13.5
0.455,0.365,0.11,0.385,0.166,0.046,0.1345,14.5
0.61,0.48,0.165,1.2435,0.5575,0.2675,0.37200000000000005,9.5
0.49,0.38,0.11,0.5539999999999999,0.2935,0.1005,0.15,9.5
0.57,0.47,0.155,1.186,0.6355,0.2315,0.27699999999999997,11.5
0.715,0.545,0.18,1.7405,0.871,0.34700000000000003,0.449,11.5
0.57,0.445,0.15,0.9875,0.504,0.207,0.249,9.5
0.415,0.325,0.14,0.41700000000000004,0.1535,0.1015,0.14400000000000002,11.5
0.715,0.525,0.2,1.89,0.95,0.436,0.4305,11.5
0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,10.5
0.42,0.335,0.115,0.369,0.171,0.071,0.12,9.5
0.585,0.46,0.165,1.1135,0.5825,0.2345,0.27399999999999997,11.5
0.59,0.45,0.16,0.9,0.358,0.156,0.315,20.5
0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,9.5
0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,11.5
0.55,0.44,0.155,0.946,0.313,0.1825,0.335,17.5
0.33,0.235,0.09,0.163,0.0615,0.034,0.055,11.5
0.47,0.375,0.13,0.5795,0.2145,0.16399999999999998,0.195,14.5
0.62,0.475,0.16,1.1295,0.46299999999999997,0.2685,0.33,11.5
0.535,0.42,0.13,0.8055,0.301,0.18100000000000002,0.28,15.5
0.585,0.49,0.185,1.171,0.522,0.2535,0.335,11.5
0.545,0.41,0.14,0.625,0.223,0.16,0.235,14.5
0.74,0.535,0.185,1.65,0.7340000000000001,0.4505,0.335,14.5
0.61,0.47,0.195,1.2735,0.469,0.3315,0.39799999999999996,13.5
0.685,0.51,0.165,1.545,0.6859999999999999,0.3775,0.4055,11.5
0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,12.5
0.615,0.475,0.155,1.115,0.484,0.2115,0.355,11.5
0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,13.5
0.49,0.38,0.13,0.539,0.22899999999999998,0.1355,0.165,13.5
0.65,0.52,0.155,1.368,0.6185,0.28800000000000003,0.365,10.5
0.62,0.5,0.175,1.107,0.4895,0.24,0.34299999999999997,12.5
0.615,0.5,0.205,1.1055,0.4445,0.22699999999999998,0.39,17.5
0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,11.5
0.57,0.445,0.155,0.733,0.282,0.159,0.235,15.5
0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,11.5
0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,7.5
0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,12.5
0.705,0.555,0.215,2.141,1.0465,0.38299999999999995,0.528,12.5
0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,10.5
0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,11.5
0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,11.5
0.475,0.37,0.125,0.655,0.266,0.1725,0.185,11.5
0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,13.5
0.52,0.425,0.125,0.79,0.37200000000000005,0.205,0.19,9.5
0.545,0.42,0.13,0.879,0.374,0.1695,0.23,14.5
0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,8.5
0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,16.5
0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,12.5
0.475,0.35,0.115,0.452,0.1715,0.092,0.155,12.5
0.625,0.49,0.155,1.2085,0.465,0.162,0.41100000000000003,12.5
0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,9.5
0.595,0.455,0.15,1.044,0.518,0.2205,0.27,10.5
0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,11.5
0.52,0.4,0.125,0.5589999999999999,0.254,0.139,0.149,9.5
0.345,0.27,0.095,0.19699999999999998,0.0665,0.05,0.07,10.5
0.51,0.405,0.15,0.7035,0.34700000000000003,0.134,0.1885,9.5
0.61,0.475,0.175,1.024,0.409,0.261,0.322,10.5
0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,10.5
0.59,0.455,0.155,0.8855,0.38799999999999996,0.188,0.275,11.5
0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,11.5
0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19,10.5
0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,14.5
0.67,0.535,0.185,1.597,0.6275,0.35,0.47,22.5
0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,8.5
0.635,0.51,0.155,0.986,0.405,0.2255,0.31,11.5
0.445,0.37,0.125,0.515,0.2495,0.087,0.159,10.5
0.715,0.565,0.18,1.79,0.8440000000000001,0.3535,0.5385,10.5
0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,13.5
0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,17.5
0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,11.5
0.665,0.54,0.175,1.347,0.4955,0.254,0.415,18.5
0.68,0.54,0.21,1.7885,0.8345,0.408,0.43700000000000006,14.5
0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,20.5
0.76,0.605,0.215,2.173,0.8009999999999999,0.4915,0.6459999999999999,14.5
0.57,0.42,0.14,0.8745,0.41600000000000004,0.165,0.25,9.5
0.575,0.435,0.13,1.0105,0.368,0.222,0.32,11.5
0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,13.5
0.535,0.41,0.13,0.7145,0.335,0.14400000000000002,0.2075,10.5
0.58,0.45,0.145,1.137,0.5585,0.22,0.29,9.5
0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,10.5
0.69,0.58,0.195,1.6580000000000001,0.708,0.3615,0.4715,11.5
0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,19.5
0.435,0.335,0.11,0.38,0.1695,0.086,0.11,10.5
0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,9.5
0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,11.5
0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,10.5
0.41,0.325,0.1,0.3555,0.146,0.07200000000000001,0.105,10.5
0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,9.5
0.3,0.24,0.09,0.161,0.0725,0.039,0.05,7.5
0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,12.5
0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,10.5
0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835,7.5
0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215,10.5
0.58,0.45,0.195,0.8265,0.4035,0.17300000000000001,0.225,10.5
0.6,0.45,0.14,0.8370000000000001,0.37,0.177,0.2425,11.5
0.75,0.57,0.21,2.2359999999999998,1.109,0.5195,0.545,12.5
0.4,0.3,0.125,0.41700000000000004,0.191,0.09,0.1175,10.5
0.53,0.41,0.165,0.732,0.18899999999999997,0.17,0.31,12.5
0.545,0.44,0.165,0.7440000000000001,0.2875,0.204,0.25,16.5
0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,10.5
0.615,0.475,0.155,1.0270000000000001,0.447,0.25,0.285,10.5
0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,11.5
0.44,0.33,0.115,0.4005,0.14300000000000002,0.113,0.12,9.5
0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,11.5
0.62,0.495,0.175,1.806,0.643,0.3285,0.725,18.5
0.63,0.515,0.165,1.3519999999999999,0.488,0.349,0.45,21.5
0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,12.5
0.64,0.5,0.15,1.2015,0.5589999999999999,0.231,0.3355,10.5
0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,10.5
0.66,0.53,0.185,1.3459999999999999,0.546,0.2705,0.47600000000000003,12.5
0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,17.5
0.575,0.425,0.15,0.8765,0.455,0.18,0.228,9.5
0.62,0.47,0.14,1.0325,0.3605,0.22399999999999998,0.36,16.5
0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,22.5
0.435,0.35,0.105,0.4195,0.19399999999999998,0.1005,0.13,8.5
0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,9.5
0.665,0.52,0.165,1.6885,0.7295,0.40700000000000003,0.4265,12.5
0.515,0.42,0.14,0.769,0.2505,0.154,0.29,14.5
0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,9.5
0.61,0.49,0.16,1.146,0.597,0.24600000000000002,0.265,9.5
0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,8.5
0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,9.5
0.68,0.52,0.165,1.4775,0.7240000000000001,0.27899999999999997,0.406,12.5
0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,10.5
0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,15.5
0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,10.5
0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28,14.5
0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,12.5
0.565,0.44,0.155,0.868,0.348,0.217,0.26,12.5
0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,9.5
0.66,0.525,0.2,1.463,0.6525,0.2995,0.42200000000000004,12.5
0.645,0.485,0.155,1.489,0.5915,0.312,0.38,19.5
0.605,0.455,0.145,0.9775,0.46799999999999997,0.1775,0.275,10.5
0.605,0.49,0.18,1.167,0.457,0.29,0.3745,10.5
0.465,0.36,0.125,0.4365,0.16899999999999998,0.1075,0.145,12.5
0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,20.5
0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,10.5
0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,10.5
0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,13.5
0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,11.5
0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,13.5
0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23,9.5
0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,10.5
0.53,0.385,0.125,0.6695,0.289,0.151,0.18,11.5
0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,10.5
0.625,0.495,0.155,1.025,0.46,0.1945,0.34,10.5
0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,11.5
0.625,0.495,0.155,1.0485,0.48700000000000004,0.212,0.3215,12.5
0.75,0.615,0.205,2.2635,0.821,0.423,0.726,13.5
0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,7.5
0.55,0.45,0.13,0.92,0.37799999999999995,0.2385,0.29,12.5
0.57,0.435,0.13,0.7535,0.349,0.1755,0.19399999999999998,11.5
0.52,0.405,0.12,0.627,0.2645,0.1415,0.18100000000000002,12.5
0.585,0.455,0.155,1.133,0.5515,0.223,0.305,13.5
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,15.5
0.46,0.355,0.13,0.517,0.2205,0.114,0.165,10.5
0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,10.5
0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,12.5
0.635,0.51,0.17,1.3555,0.619,0.305,0.39,10.5
0.495,0.415,0.165,0.7485,0.264,0.134,0.285,14.5
0.61,0.475,0.155,1.168,0.5539999999999999,0.239,0.3295,11.5
0.605,0.485,0.165,1.0735,0.43700000000000006,0.205,0.33,15.5
0.595,0.465,0.14,1.113,0.5175,0.244,0.305,13.5
0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,9.5
0.655,0.545,0.19,1.4245,0.6325,0.33299999999999996,0.37799999999999995,11.5
0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,10.5
0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,10.5
0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,11.5
0.59,0.47,0.17,0.9,0.355,0.1905,0.25,12.5
0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,10.5
0.62,0.485,0.22,1.511,0.5095,0.284,0.51,18.5
0.54,0.41,0.145,0.9890000000000001,0.2815,0.213,0.355,20.5
0.55,0.44,0.135,0.879,0.368,0.2095,0.265,11.5
0.715,0.525,0.185,1.56,0.6655,0.38299999999999995,0.405,12.5
0.655,0.515,0.2,1.3730000000000002,0.44299999999999995,0.3375,0.49,17.5
0.585,0.455,0.13,0.8755,0.41100000000000003,0.2065,0.225,9.5
0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41,16.5
0.725,0.565,0.21,2.1425,1.03,0.48700000000000004,0.503,15.5
0.475,0.38,0.14,0.6890000000000001,0.3165,0.1315,0.1955,8.5
0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,9.5
0.505,0.39,0.12,0.653,0.3315,0.1385,0.16699999999999998,10.5
0.675,0.535,0.16,1.41,0.5920000000000001,0.3175,0.42,17.5
0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,13.5
0.4,0.305,0.085,0.297,0.10800000000000001,0.0705,0.1,11.5
0.46,0.35,0.115,0.44,0.19,0.1025,0.13,9.5
0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,10.5
0.685,0.52,0.165,1.5190000000000001,0.6990000000000001,0.3685,0.4,11.5
0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,13.5
0.62,0.47,0.2,1.2255,0.381,0.27,0.435,24.5
0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,9.5
0.715,0.55,0.19,2.0045,1.0465,0.40700000000000003,0.5075,13.5
0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,9.5
0.62,0.435,0.155,1.012,0.47700000000000004,0.23600000000000002,0.275,9.5
0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,14.5
0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,17.5
0.625,0.445,0.16,1.09,0.46,0.2965,0.304,12.5
0.37,0.28,0.105,0.22399999999999998,0.0815,0.0575,0.075,9.5
0.575,0.46,0.165,0.9575,0.4815,0.1945,0.23600000000000002,11.5
0.545,0.4,0.14,0.778,0.368,0.215,0.18,10.5
0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,10.5
0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,11.5
0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,12.5
0.615,0.475,0.175,1.194,0.5589999999999999,0.259,0.3165,12.5
0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,11.5
0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,11.5
0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,20.5
0.565,0.415,0.125,0.667,0.302,0.1545,0.185,8.5
0.56,0.43,0.15,0.8745,0.45299999999999996,0.161,0.22,9.5
0.67,0.525,0.195,1.37,0.6065,0.2955,0.40700000000000003,13.5
0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,10.5
0.485,0.395,0.16,0.66,0.2475,0.128,0.235,15.5
0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,10.5
0.6,0.475,0.155,1.0590000000000002,0.441,0.19,0.39,12.5
0.37,0.29,0.115,0.25,0.111,0.057,0.075,10.5
0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,11.5
0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,11.5
0.72,0.55,0.18,1.52,0.637,0.325,0.435,11.5
0.55,0.43,0.15,0.655,0.2635,0.122,0.221,9.5
0.57,0.465,0.18,1.295,0.33899999999999997,0.2225,0.44,13.5
0.555,0.42,0.11,0.9309999999999999,0.4445,0.171,0.225,9.5
0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,12.5
0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,13.5
0.63,0.505,0.165,1.065,0.4595,0.21600000000000003,0.315,13.5
0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,17.5
0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,11.5
0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,15.5
0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,11.5
0.42,0.32,0.13,0.4135,0.1645,0.106,0.11900000000000001,11.5
0.67,0.53,0.205,1.4015,0.643,0.2465,0.41600000000000004,13.5
0.425,0.305,0.11,0.359,0.17300000000000001,0.0875,0.0975,10.5
0.625,0.48,0.17,1.3555,0.6709999999999999,0.268,0.3385,11.5
0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,10.5
0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,9.5
0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,11.5
0.65,0.5,0.165,1.1445,0.485,0.218,0.365,13.5
0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,13.5
0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,12.5
0.54,0.405,0.125,0.8909999999999999,0.4815,0.1915,0.20199999999999999,10.5
0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,14.5
0.32,0.24,0.085,0.17,0.0655,0.047,0.049,8.5
0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,9.5
0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,10.5
0.605,0.47,0.155,0.9740000000000001,0.39299999999999996,0.22399999999999998,0.3345,10.5
0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,13.5
0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,15.5
0.51,0.4,0.13,0.5735,0.21899999999999997,0.1365,0.195,14.5
0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,13.5
0.575,0.485,0.165,1.0405,0.419,0.264,0.3,15.5
0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,12.5
0.545,0.42,0.125,0.9745,0.353,0.174,0.305,14.5
0.63,0.47,0.155,1.1325,0.589,0.21100000000000002,0.287,9.5
0.545,0.41,0.14,0.737,0.349,0.15,0.212,10.5
0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,9.5
0.27,0.195,0.07,0.106,0.0465,0.018000000000000002,0.036000000000000004,8.5
0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,15.5
0.6,0.47,0.15,0.922,0.363,0.19399999999999998,0.305,11.5
0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,18.5
0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55,23.5
0.685,0.545,0.18,1.768,0.7495,0.392,0.485,17.5
0.525,0.38,0.125,0.65,0.303,0.155,0.159,8.5
0.45,0.345,0.115,0.496,0.1905,0.11699999999999999,0.14,13.5
0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,9.5
0.585,0.455,0.225,1.055,0.3815,0.221,0.365,16.5
0.57,0.435,0.17,0.873,0.382,0.183,0.2705,11.5
0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,13.5
0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,12.5
0.59,0.455,0.165,1.161,0.38,0.2455,0.28,13.5
0.6,0.48,0.09,1.05,0.457,0.2685,0.28,9.5
0.46,0.375,0.135,0.4935,0.18600000000000003,0.0845,0.17,13.5
0.5,0.42,0.125,0.62,0.255,0.15,0.205,12.5
0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,13.5
0.49,0.385,0.16,0.6559999999999999,0.2455,0.171,0.205,10.5
0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,11.5
0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,9.5
0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,7.5
0.6,0.47,0.165,1.0590000000000002,0.504,0.24100000000000002,0.275,10.5
0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,11.5
0.5,0.355,0.14,0.528,0.2125,0.149,0.14,10.5
0.505,0.385,0.11,0.655,0.3185,0.15,0.185,10.5
0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,10.5
0.575,0.435,0.14,0.8455,0.401,0.191,0.222,10.5
0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,4.5
0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,13.5
0.765,0.585,0.18,2.398,1.128,0.512,0.5335,13.5
0.385,0.305,0.125,0.314,0.146,0.0555,0.08,11.5
0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,14.5
0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,17.5
0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,12.5
0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,13.5
0.515,0.435,0.145,0.8815,0.292,0.20600000000000002,0.255,11.5
0.635,0.5,0.17,1.4345,0.611,0.309,0.418,13.5
0.585,0.46,0.185,0.922,0.3635,0.213,0.285,11.5
0.355,0.265,0.09,0.168,0.05,0.040999999999999995,0.063,9.5
0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,12.5
0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,10.5
0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,11.5
0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,11.5
0.55,0.415,0.135,0.7635,0.318,0.21,0.2,10.5
0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,11.5
0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,13.5
0.57,0.43,0.12,1.0615,0.348,0.16699999999999998,0.31,16.5
